annee_universitaire,libelle_diplome_1,libelle_diplome_2,total_inscrits
2012-13,"DROIT, ECONOMIE, GESTION : DROIT","",82271
2012-13,NON DETAILLE,"",55965
2012-13,DE DOCTEUR EN MEDECINE,"",55870
2012-13,PREMIERE ANNEE COMMUNE AUX ETUDES DE SANTE (PACES),"",55700
2012-13,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,"",48151
2012-13,"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES APPLIQUEES","",36165
2012-13,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,"",23830
2012-13,"DROIT, ECONOMIE, GESTION : ADMINISTRATION ECONOMIQUE ET SOCIALE","",22029
2012-13,DE DOCTEUR EN PHARMACIE,"",21149
2012-13,TECHNIQUES DE COMMERCIALISATION,"",19924
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC+6 ET PLUS,"",15936
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",ANGLAIS,15245
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : BIOLOGIE","",13349
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE, GESTION","",13035
2012-13,INFORMATIQUE,"",11375
2012-13,MEDECINE GENERALE,"",11145
2012-13,GESTION DES ENTREPRISES ET DES ADMINISTRATIONS,"",10801
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : INFORMATIQUE","",10591
2012-13,"SCIENCES, TECHNOLOGIES, SANTE (ANNEE COMMUNE) :","",10169
2012-13,SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE,"",9805
2012-13,DIPLOME D'ACCES AUX ETUDES UNIVERSITAIRES - A (DAEU - A),"",9621
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE ET GESTION","",8932
2012-13,DIPLOME DE L'INSTITUT D'ETUDES POLITIQUES,"",8389
2012-13,SCIENCES ET TECHNOLOGIES (ANNEE COMMUNE) :,"",7915
2012-13,GENIE ELECTRIQUE ET INFORMATIQUE INDUSTRIELLE,"",7783
2012-13,DE DOCTEUR EN CHIRURGIE DENTAIRE,"",7480
2012-13,"ARTS, LETTRES, LANGUES : LETTRES","",7083
2012-13,SCIENCES HUMAINES ET SOCIALES : HISTOIRE DE L'ART ET ARCHEOLOGIE,"",6997
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : MATHEMATIQUES","",6910
2012-13,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (ANNEE COMMUNE),"",6856
2012-13,GENIE MECANIQUE ET PRODUCTIQUE,"",6849
2012-13,SCIENCES JURIDIQUES,"",6767
2012-13,"DROIT, SCIENCES POLITIQUE ET SOCIALES : DROIT","",6716
2012-13,"DROIT, ECONOMIE, GESTION : ECONOMIE","",6440
2012-13,"ARTS, LETTRES, LANGUES : LETTRES",LETTRES MODERNES,6423
2012-13,"DROIT, ECONOMIE, GESTION : DROIT ET SCIENCE POLITIQUE","",6257
2012-13,"DROIT, ECONOMIE, GESTION (ANNEE COMMUNE) :","",6068
2012-13,CHIMIE,"",5925
2012-13,GENIE CIVIL,"",5800
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC+4 A BAC+5,"",5445
2012-13,MASTERS SCIENCES PO,"",5395
2012-13,"ARTS, LETTRES, LANGUES : LETTRES MODERNES","",5295
2012-13,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"",5271
2012-13,DROIT : DROIT,"",5267
2012-13,SCIENCES HUMAINES ET SOCIALES : INFORMATION ET COMMUNICATION,"",5127
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","",4853
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (ANNEE COMMUNE)","",4719
2012-13,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE ET AMENAGEMENT,"",4679
2012-13,HISTOIRE,"",4526
2012-13,MESURES PHYSIQUES,"",4446
2012-13,SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,"",4413
2012-13,INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE D'ARTS ET METIERS,"",4244
2012-13,SCIENCES DE LA VIE ET DE LA SANTE,"",4226
2012-13,DIPLOME DU COLLEGE UNIVERSITAIRE DE SCIENCES PO,"",4186
2012-13,"ARTS, LETTRES, LANGUES : ARTS","",4184
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES POUR L'INGENIEUR","",4168
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DU VIVANT","",4113
2012-13,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES (ANNEE COMMUNE) :,"",4110
2012-13,GESTION DES ENTREPRISES ET DES ADMINISTRATIONS,PETITES ET MOYENNES ORGANISATIONS,4082
2012-13,PHYSIQUE,"",4056
2012-13,"ARTS, LETTRES, LANGUES : ARTS DU SPECTACLE","",4023
2012-13,"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION","",4003
2012-13,GESTION DES ENTREPRISES ET DES ADMINISTRATIONS,FINANCES COMPTABILITE,3961
2012-13,DIPLOME D'ETAT DE SAGE-FEMME,"",3878
2012-13,SCIENCES HUMAINES ET SOCIALES : SCIENCES DE L'EDUCATION,"",3823
2012-13,"DROIT, ECONOMIE, GESTION : GESTION","",3792
2012-13,"ARTS, LETTRES, LANGUES : ARTS PLASTIQUES","",3750
2012-13,CAPACITE EN DROIT,"",3679
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",ANGLAIS,3643
2012-13,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES",ESPAGNOL,3597
2012-13,"SCIENCES, TECHNOLOGIES, SANTE : PHYSIQUE","",3540
2012-13,FORMATION INGENIEUR HORS SPECIALITE - ANNEE COMMUNE (ECOLES EN 5 ANS),"",3519
2012-13,DIPLOMES D'UNIVERSITE EN MEDECINE - BAC+5 A BAC+6 ET PLUS,"",3465
2012-13,SERVICES ET RESEAUX DE COMMUNICATION,"",3433
2012-13,"DROIT, ECONOMIE, GESTION : SCIENCES DE GESTION","",3376
2012-13,"DROIT, ECONOMIE, GESTION : DROIT PRIVE","",3358
