annee_universitaire,departement,degre_etudes,total_inscrits
2012-13,Paris,BAC + 1,49566
2012-13,Paris,BAC + 4,42139
2012-13,Paris,BAC + 5,36123
2012-13,Paris,BAC + 6 et plus,34420
2012-13,Paris,BAC + 3,34343
2012-13,Paris,BAC + 2,29854
2012-13,Nord,BAC + 1,26847
2012-13,Rh?ne,BAC + 1,24254
2012-13,Haute-Garonne,BAC + 1,22133
2012-13,Rh?ne,BAC + 3,18798
2012-13,Bouches-du-Rh?ne,BAC + 1,17568
2012-13,Nord,BAC + 3,17383
2012-13,Gironde,BAC + 1,17039
2012-13,H?rault,BAC + 1,16996
2012-13,Rh?ne,BAC + 4,16224
2012-13,Rh?ne,BAC + 2,15863
2012-13,Rh?ne,BAC + 5,15671
2012-13,Meurthe-et-Moselle,BAC + 1,15502
2012-13,Ille-et-Vilaine,BAC + 1,14919
2012-13,Seine-Saint-Denis,BAC + 1,14578
2012-13,Haute-Garonne,BAC + 3,14172
2012-13,Nord,BAC + 2,13994
2012-13,Nord,BAC + 4,13320
2012-13,Haute-Garonne,BAC + 2,13128
2012-13,Haute-Garonne,BAC + 4,12337
2012-13,Rh?ne,BAC + 6 et plus,12118
2012-13,Bas-Rhin,BAC + 1,11911
2012-13,Is?re,BAC + 1,11841
2012-13,Nord,BAC + 5,11447
2012-13,Haute-Garonne,BAC + 5,11394
2012-13,Bouches-du-Rh?ne,BAC + 5,11310
2012-13,Seine-Maritime,BAC + 1,11257
2012-13,Gironde,BAC + 5,11022
2012-13,H?rault,BAC + 5,10739
2012-13,H?rault,BAC + 3,10591
2012-13,Bouches-du-Rh?ne,BAC + 4,10484
2012-13,Gironde,BAC + 3,10468
2012-13,Gironde,BAC + 4,9920
2012-13,Loire-Atlantique,BAC + 1,9912
2012-13,Meurthe-et-Moselle,BAC + 3,9890
2012-13,Gironde,BAC + 2,9836
2012-13,Calvados,BAC + 1,9812
2012-13,Essonne,BAC + 1,9779
2012-13,Bouches-du-Rh?ne,BAC + 3,9771
2012-13,H?rault,BAC + 4,9645
2012-13,Bouches-du-Rh?ne,BAC + 2,9538
2012-13,Puy-de-D?me,BAC + 1,9395
2012-13,Hauts-de-Seine,BAC + 1,9148
2012-13,Essonne,BAC + 3,9072
2012-13,Bas-Rhin,BAC + 5,8797
2012-13,H?rault,BAC + 2,8777
2012-13,Haute-Garonne,BAC + 6 et plus,8672
2012-13,Somme,BAC + 1,8484
2012-13,Is?re,BAC + 3,8461
2012-13,Ille-et-Vilaine,BAC + 3,8449
2012-13,Meurthe-et-Moselle,BAC + 2,8399
2012-13,Ille-et-Vilaine,BAC + 2,8265
2012-13,Bas-Rhin,BAC + 3,8138
2012-13,Val-de-Marne,BAC + 1,8086
2012-13,C?te-d'Or,BAC + 1,8050
2012-13,Alpes-Maritimes,BAC + 1,8015
2012-13,Seine-Saint-Denis,BAC + 3,7798
2012-13,Seine-Saint-Denis,BAC + 2,7608
2012-13,Is?re,BAC + 4,7462
2012-13,Meurthe-et-Moselle,BAC + 5,7421
2012-13,Ille-et-Vilaine,BAC + 4,7389
2012-13,Indre-et-Loire,BAC + 1,7381
2012-13,Hauts-de-Seine,BAC + 4,7376
2012-13,Gironde,BAC + 6 et plus,7336
2012-13,Bouches-du-Rh?ne,BAC + 6 et plus,7267
2012-13,Marne,BAC + 1,7161
2012-13,Bas-Rhin,BAC + 4,7126
2012-13,Nord,BAC + 6 et plus,7036
2012-13,Is?re,BAC + 5,6993
2012-13,Bas-Rhin,BAC + 2,6909
2012-13,Meurthe-et-Moselle,BAC + 4,6879
2012-13,Is?re,BAC + 2,6832
2012-13,Val-de-Marne,BAC + 3,6552
2012-13,Ille-et-Vilaine,BAC + 5,6501
2012-13,La R?union,BAC + 1,6400
2012-13,Hauts-de-Seine,BAC + 3,6380
2012-13,Vienne,BAC + 1,6358
2012-13,Seine-Saint-Denis,BAC + 4,6328
2012-13,Essonne,BAC + 4,6325
2012-13,Hauts-de-Seine,BAC + 5,6288
2012-13,Doubs,BAC + 1,6274
2012-13,Essonne,BAC + 2,6187
2012-13,Loire-Atlantique,BAC + 3,6154
2012-13,Seine-Maritime,BAC + 2,6131
2012-13,Loire,BAC + 1,6129
2012-13,Puy-de-D?me,BAC + 3,5826
2012-13,Seine-Maritime,BAC + 3,5781
2012-13,H?rault,BAC + 6 et plus,5752
2012-13,Essonne,BAC + 5,5646
2012-13,Loire-Atlantique,BAC + 2,5594
2012-13,Hauts-de-Seine,BAC + 2,5569
2012-13,Is?re,BAC + 6 et plus,5517
2012-13,Loire-Atlantique,BAC + 4,5499
2012-13,Meurthe-et-Moselle,BAC + 6 et plus,5475
2012-13,Seine-Saint-Denis,BAC + 5,5445
2012-13,Guadeloupe,BAC + 1,5432
2012-13,Bas-Rhin,BAC + 6 et plus,5392
2012-13,Loire-Atlantique,BAC + 5,5293
2012-13,Essonne,BAC + 6 et plus,5274
2012-13,Finist?re,BAC + 1,5258
2012-13,Maine-et-Loire,BAC + 1,5070
2012-13,Somme,BAC + 4,4911
2012-13,Val-de-Marne,BAC + 5,4856
2012-13,Puy-de-D?me,BAC + 2,4732
2012-13,Val-d'Oise,BAC + 1,4700
2012-13,Yvelines,BAC + 1,4631
2012-13,C?te-d'Or,BAC + 3,4585
2012-13,Ille-et-Vilaine,BAC + 6 et plus,4566
2012-13,Puy-de-D?me,BAC + 5,4534
2012-13,Loiret,BAC + 1,4527
2012-13,Puy-de-D?me,BAC + 4,4486
2012-13,Val-de-Marne,BAC + 2,4474
2012-13,C?te-d'Or,BAC + 2,4446
2012-13,Loire-Atlantique,BAC + 6 et plus,4404
2012-13,Val-de-Marne,BAC + 4,4367
2012-13,Maine-et-Loire,BAC + 3,4261
2012-13,Somme,BAC + 2,4241
2012-13,Haute-Vienne,BAC + 1,4236
2012-13,Calvados,BAC + 3,4196
2012-13,Calvados,BAC + 2,4155
